"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1297","Get Users","chromium","Fri Sep 27 01:20:14 IST 2024","passed","Fri Sep 27 01:20:15 IST 2024","","apiTests\getAPIRequestTest.spec.js","",""
"","13238","Navigate HomePage","chromium","Fri Sep 27 01:20:19 IST 2024","passed","Fri Sep 27 01:20:32 IST 2024","","UIDemo\PolestarTest.spec.js","",""
"","446","Create User","chromium","Fri Sep 27 01:20:17 IST 2024","passed","Fri Sep 27 01:20:17 IST 2024","","apiTests\postAPIRequestTest.spec.js","",""
"","437","get user details By UserId","chromium","Fri Sep 27 01:20:19 IST 2024","passed","Fri Sep 27 01:20:19 IST 2024","","apiTests\postAPIRequestTest.spec.js","",""
"","1513","Create User","chromium","Fri Sep 27 01:20:14 IST 2024","passed","Fri Sep 27 01:20:15 IST 2024","","apiTests\deleteUserAPIRequestTest.spec.js","",""
"","471","Get User details by UserId","chromium","Fri Sep 27 01:20:18 IST 2024","passed","Fri Sep 27 01:20:18 IST 2024","","apiTests\putUserAPIRequestTest.spec.js","",""
"","430","Get Users with invalid url","chromium","Fri Sep 27 01:20:15 IST 2024","passed","Fri Sep 27 01:20:16 IST 2024","","apiTests\getAPIRequestTest.spec.js","",""
"","430","Get Users with valid UserId","chromium","Fri Sep 27 01:20:16 IST 2024","passed","Fri Sep 27 01:20:17 IST 2024","","apiTests\getAPIRequestTest.spec.js","",""
"","458","Delete User","chromium","Fri Sep 27 01:20:15 IST 2024","passed","Fri Sep 27 01:20:16 IST 2024","","apiTests\deleteUserAPIRequestTest.spec.js","",""
"","430","Update User Details","chromium","Fri Sep 27 01:20:17 IST 2024","passed","Fri Sep 27 01:20:18 IST 2024","","apiTests\putUserAPIRequestTest.spec.js","",""
"","440","Create User with invalid requestBody","chromium","Fri Sep 27 01:20:18 IST 2024","passed","Fri Sep 27 01:20:19 IST 2024","","apiTests\postAPIRequestTest.spec.js","",""
"","410","Delete User more than once","chromium","Fri Sep 27 01:20:16 IST 2024","passed","Fri Sep 27 01:20:17 IST 2024","","apiTests\deleteUserAPIRequestTest.spec.js","",""
"","449","Create User","chromium","Fri Sep 27 01:20:17 IST 2024","passed","Fri Sep 27 01:20:17 IST 2024","","apiTests\putUserAPIRequestTest.spec.js","",""
"","444","Get Users with invalid id","chromium","Fri Sep 27 01:20:16 IST 2024","passed","Fri Sep 27 01:20:16 IST 2024","","apiTests\getAPIRequestTest.spec.js","",""
"","7","Get Users","chromium","Fri Sep 27 01:20:15 IST 2024","skipped","Fri Sep 27 01:20:15 IST 2024","","apiTests\deleteUserAPIRequestTest.spec.js","",""
"","489","Create User with same payload more than once","chromium","Fri Sep 27 01:20:17 IST 2024","passed","Fri Sep 27 01:20:18 IST 2024","","apiTests\postAPIRequestTest.spec.js","",""
"","399","Get User details of deleted userId","chromium","Fri Sep 27 01:20:16 IST 2024","passed","Fri Sep 27 01:20:16 IST 2024","","apiTests\deleteUserAPIRequestTest.spec.js","",""
"","478","Create User with emptyRequestBody","chromium","Fri Sep 27 01:20:18 IST 2024","passed","Fri Sep 27 01:20:18 IST 2024","","apiTests\postAPIRequestTest.spec.js","",""
"","370","Get Users with invalid authToken","chromium","Fri Sep 27 01:20:16 IST 2024","passed","Fri Sep 27 01:20:16 IST 2024","","apiTests\getAPIRequestTest.spec.js","",""
"","423","Update User details with invalid UserId","chromium","Fri Sep 27 01:20:18 IST 2024","passed","Fri Sep 27 01:20:19 IST 2024","","apiTests\putUserAPIRequestTest.spec.js","",""
"","22663","User Account","chromium","Fri Sep 27 01:20:33 IST 2024","failed","Fri Sep 27 01:20:55 IST 2024","","UIDemo\PolestarTest.spec.js","",""
